,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Merauke,ID,-8.47,140.33,73.47,87,0,11.56,clear sky
340,Otane,NZ,-39.88,176.63,41.0,94,100,1.52,overcast clouds
341,Antofagasta,CL,-23.65,-70.4,60.8,63,35,8.05,scattered clouds
342,Broken Hill,AU,-31.95,141.43,42.8,75,0,11.41,clear sky
343,Ranong,TH,9.97,98.63,80.15,82,92,7.36,overcast clouds
344,Olafsvik,IS,64.89,-23.71,52.79,63,0,7.76,clear sky
345,Ancud,CL,-41.87,-73.82,52.0,100,90,13.87,overcast clouds
346,Khatanga,RU,71.97,102.5,49.87,77,0,7.43,clear sky
347,Constitucion,CL,-35.33,-72.42,62.4,55,0,4.9,clear sky
348,Klyuchi,RU,52.27,79.17,62.38,54,99,4.23,overcast clouds
349,Lunenburg,CA,44.38,-64.32,80.01,70,86,1.01,overcast clouds
350,Vung Tau,VN,10.35,107.08,82.94,82,22,14.14,few clouds
351,Tabuk,PH,17.42,121.44,75.09,83,100,2.8,overcast clouds
352,Nuuk,GL,64.18,-51.72,44.6,87,75,2.24,broken clouds
353,Novyy Urgal,RU,51.07,132.56,57.99,96,100,4.5,light rain
354,Jalu,LY,29.03,21.55,91.36,22,0,9.53,clear sky
355,Salinopolis,BR,-0.61,-47.36,84.61,68,2,9.53,light rain
356,Batemans Bay,AU,-35.72,150.18,39.0,84,65,5.99,broken clouds
357,Sanandaj,IR,35.31,46.99,82.4,12,0,9.17,clear sky
358,Nouakchott,MR,18.09,-15.98,89.6,66,0,17.22,clear sky
359,Fairbanks,US,64.84,-147.72,57.99,82,90,8.05,overcast clouds
360,Cortes,ES,41.94,-1.44,87.8,32,0,16.11,clear sky
361,Verkhnevilyuysk,RU,63.45,120.32,39.88,74,0,2.37,clear sky
362,Havelock,US,34.88,-76.9,89.01,58,1,8.05,clear sky
363,Sorong,ID,-0.88,131.25,79.21,83,2,11.03,light rain
364,Keshorai Patan,IN,25.3,75.93,80.42,88,100,5.73,overcast clouds
365,Bonao,DO,18.94,-70.41,84.2,79,75,4.7,broken clouds
366,Kristiansund,NO,63.11,7.73,62.6,77,100,21.92,light rain
367,Isangel,VU,-19.55,169.27,73.36,86,10,7.76,clear sky
368,Palauig,PH,15.44,119.9,81.59,76,99,6.91,light rain
369,Santiago,CL,-33.46,-70.65,73.4,15,0,6.35,clear sky
370,Najran,SA,17.49,44.13,96.8,20,17,9.17,few clouds
371,Dodge City,US,37.75,-100.02,82.99,44,1,19.46,clear sky
372,Shihezi,CN,44.3,86.03,74.19,26,0,7.83,clear sky
373,Orumiyeh,IR,37.55,45.08,71.6,43,40,9.17,scattered clouds
374,Palekh,RU,56.8,41.86,58.24,76,7,4.07,clear sky
375,Rabo De Peixe,PT,37.8,-25.58,77.0,78,20,6.93,few clouds
376,Bereznik,RU,62.86,42.71,62.56,86,0,2.89,clear sky
377,Debre Tabor,ET,11.85,38.02,54.93,100,39,2.1,light rain
378,Orange Cove,US,36.62,-119.31,86.0,65,1,3.36,haze
379,Vilyuysk,RU,63.76,121.62,41.2,73,0,4.27,clear sky
380,Avera,US,33.19,-82.53,82.0,54,90,4.7,light rain
381,Morondava,MG,-20.28,44.28,74.23,76,0,14.54,clear sky
382,Galesong,ID,-5.32,119.37,73.4,56,20,4.7,few clouds
383,Kloulklubed,PW,7.04,134.26,75.2,94,75,4.83,broken clouds
384,Utinga,BR,-5.82,-35.4,84.2,58,40,14.99,scattered clouds
385,Ghanzi,BW,-21.57,21.78,64.2,38,58,5.97,broken clouds
386,Changli,CN,39.7,119.15,65.14,77,0,3.42,clear sky
387,Lompoc,US,34.64,-120.46,66.2,72,1,4.7,clear sky
388,Ugoofaaru,MV,5.67,73.0,83.93,66,2,4.27,clear sky
389,Riyadh,SA,24.69,46.72,104.0,16,64,3.36,broken clouds
390,Capela Do Alto,BR,-23.47,-47.73,64.0,56,69,8.01,broken clouds
391,Camabatela,AO,-8.19,15.38,73.58,55,92,4.32,overcast clouds
392,Rudbar,AF,30.15,62.6,89.06,11,0,6.89,clear sky
393,Halifax,CA,44.65,-63.57,75.99,45,78,1.99,broken clouds
394,Ust-Kulom,RU,61.69,53.69,54.48,81,81,3.98,broken clouds
395,Scarborough,GB,54.28,-0.4,64.99,71,65,4.0,light rain
396,Rundu,NA,-17.93,19.77,72.82,21,26,4.21,scattered clouds
397,Iguguno,TZ,-4.57,34.63,70.54,43,90,7.49,overcast clouds
398,Songkhla,TH,6.83,100.67,78.8,100,20,2.24,few clouds
399,Taltal,CL,-25.4,-70.48,59.54,61,38,3.98,scattered clouds
400,Okhotsk,RU,59.38,143.3,51.3,71,72,10.74,broken clouds
401,Marshall,US,34.38,-86.33,78.01,65,75,5.28,broken clouds
402,Yerbogachen,RU,61.28,108.01,52.39,67,92,6.89,overcast clouds
403,Weligama,LK,5.97,80.42,79.54,87,75,6.38,light rain
404,Mayo,US,38.89,-76.51,82.99,78,1,8.05,clear sky
405,Klaksvik,FO,62.23,-6.59,48.2,87,100,26.4,light rain
406,Ajdabiya,LY,30.76,20.23,83.89,52,0,23.0,clear sky
407,Tomohon,ID,1.33,124.84,78.8,83,20,2.24,few clouds
408,Kalaleh,IR,37.38,55.49,80.6,74,90,6.93,overcast clouds
409,Kirkuk,IQ,35.47,44.39,85.35,20,0,7.67,clear sky
410,Waingapu,ID,-9.66,120.26,74.23,77,41,6.58,scattered clouds
411,Barcelos,PT,41.54,-8.62,75.99,73,38,17.22,scattered clouds
412,Northam,GB,51.03,-4.22,64.0,83,7,15.01,clear sky
413,Mitsamiouli,KM,-11.38,43.28,78.8,74,20,4.7,few clouds
414,Destin,US,30.39,-86.5,82.4,74,1,3.36,clear sky
415,Mmabatho,ZA,-25.85,25.63,57.2,41,0,5.82,clear sky
416,Mount Gambier,AU,-37.83,140.77,44.6,87,75,13.87,light intensity shower rain
417,Hofn,IS,64.25,-15.21,51.8,61,97,2.44,overcast clouds
418,Lamont,US,35.26,-118.91,88.0,41,82,1.99,broken clouds
419,Guerrero Negro,MX,27.98,-114.06,85.71,46,0,7.38,clear sky
420,Shelburne,CA,44.08,-80.2,84.0,58,1,3.36,clear sky
421,Udachnyy,RU,66.42,112.4,50.0,61,68,6.71,broken clouds
422,Thanh Hoa,VN,19.8,105.77,78.67,88,46,1.99,scattered clouds
423,Mareeba,AU,-17.0,145.43,59.0,87,21,2.01,few clouds
424,Brockville,CA,44.58,-75.68,78.8,54,1,6.93,clear sky
425,Camopi,GF,3.17,-52.32,96.19,33,0,3.85,clear sky
426,Umea,SE,63.83,20.26,66.2,88,75,16.11,broken clouds
427,Libourne,FR,44.92,-0.25,77.0,57,20,10.29,few clouds
428,Dingle,PH,11.0,122.67,76.86,89,49,1.54,scattered clouds
429,Bubaque,GW,11.28,-15.83,80.67,81,72,10.74,broken clouds
430,Westport,US,41.14,-73.36,87.01,65,1,9.17,clear sky
431,Peniche,PT,39.36,-9.38,78.01,68,0,11.99,clear sky
432,Springdale,US,36.19,-94.13,88.0,51,1,4.7,clear sky
433,Kamenka,RU,51.32,42.77,64.99,52,46,3.69,scattered clouds
434,Vostok,RU,46.49,135.88,51.04,94,99,4.0,overcast clouds
435,Dzyhivka,UA,48.36,28.32,75.99,51,4,8.72,clear sky
436,Ponta Delgada,PT,37.73,-25.67,77.0,78,20,6.93,few clouds
437,Parati,BR,-23.22,-44.71,60.24,82,100,0.83,light rain
438,Pilar,BR,-9.6,-35.96,80.6,65,75,13.87,broken clouds
439,Kimbe,PG,-5.55,150.14,75.24,87,19,5.01,few clouds
440,Negombo,LK,7.21,79.84,82.4,83,20,8.05,few clouds
441,Paamiut,GL,61.99,-49.67,44.24,89,1,11.27,clear sky
442,Nagato,JP,34.38,131.2,82.4,83,40,2.24,scattered clouds
443,Novoagansk,RU,61.94,76.66,48.94,92,43,1.21,scattered clouds
444,Los Alamos,US,35.89,-106.31,82.0,22,1,3.36,clear sky
445,Saint Anthony,US,45.02,-93.22,80.01,73,1,5.82,clear sky
446,Brae,GB,60.4,-1.35,55.4,93,75,12.75,broken clouds
447,Wilkie,CA,52.42,-108.7,71.01,76,40,10.0,scattered clouds
448,Vicuna,CL,-30.03,-70.71,51.8,81,90,4.7,overcast clouds
449,Nanortalik,GL,60.14,-45.24,48.6,67,35,4.0,scattered clouds
450,Muravlenko,RU,63.79,74.52,52.3,95,100,8.84,light rain
451,Miyako,JP,39.64,141.95,71.91,92,100,3.47,overcast clouds
452,Castanos,MX,26.78,-101.42,96.01,30,0,3.0,clear sky
453,Torit,SS,4.41,32.57,74.59,83,73,2.86,broken clouds
454,Oranjestad,AW,12.52,-70.03,86.0,79,20,10.29,few clouds
455,Goundam,ML,16.41,-3.67,99.59,30,74,20.18,broken clouds
456,Delano,US,35.77,-119.25,84.0,47,83,5.06,haze
457,Aquiraz,BR,-3.9,-38.39,84.2,66,20,13.87,few clouds
458,Sur,OM,22.57,59.53,81.41,74,98,11.9,overcast clouds
459,Broome,US,42.25,-75.83,84.0,57,40,5.75,scattered clouds
460,Puerto Leguizamo,CO,-0.19,-74.78,71.87,87,100,3.53,overcast clouds
461,Ulagan,RU,50.63,87.96,46.09,73,16,2.13,few clouds
462,Makakilo City,US,21.35,-158.09,77.0,73,1,3.36,clear sky
463,Pestovo,RU,58.59,35.8,62.98,71,81,2.55,broken clouds
464,Atar,MR,20.52,-13.05,111.45,9,39,9.84,scattered clouds
465,Itarema,BR,-2.92,-39.92,84.29,60,41,17.98,scattered clouds
466,Forssa,FI,60.81,23.62,63.0,94,100,1.99,light rain
467,Labuhan,ID,-6.88,112.21,78.69,72,28,7.99,scattered clouds
468,Evensk,RU,61.95,159.23,43.14,73,98,11.7,overcast clouds
469,Hervey Bay,AU,-25.3,152.85,57.2,41,0,8.05,clear sky
470,Khandbari,NP,27.37,87.2,73.24,74,84,1.43,light rain
471,Taman,RU,45.21,36.72,77.0,50,40,8.95,scattered clouds
472,San Lazaro,BZ,18.04,-88.66,87.8,88,75,1.19,drizzle
473,Honningsvag,NO,70.98,25.97,60.8,82,40,13.87,scattered clouds
474,Kununurra,AU,-15.77,128.73,69.8,32,20,7.94,few clouds
475,Khorixas,NA,-20.37,14.97,71.01,20,21,5.77,few clouds
476,Yulara,AU,-25.24,130.99,53.6,34,0,5.82,clear sky
477,Nakatsugawa,JP,35.48,137.5,68.0,100,100,4.0,overcast clouds
478,Yinchuan,CN,38.47,106.27,77.22,46,100,13.69,light rain
479,Lapeer,US,43.05,-83.32,84.0,48,1,4.7,clear sky
480,Jacqueville,CI,5.21,-4.41,80.6,83,20,10.29,few clouds
481,Emba,KZ,48.83,58.14,67.89,35,70,7.67,broken clouds
482,Ishigaki,JP,24.34,124.16,83.64,82,100,30.87,moderate rain
483,Acapulco,MX,16.86,-99.89,84.2,74,75,2.24,broken clouds
484,Pasco,US,28.29,-82.42,84.99,85,99,1.01,overcast clouds
485,Morwell,AU,-38.23,146.4,43.0,94,71,4.0,broken clouds
486,Timizart,DZ,36.8,4.27,86.68,40,13,4.56,few clouds
487,Xapuri,BR,-10.65,-68.5,70.65,43,34,6.2,scattered clouds
488,Saint-Francois,FR,46.42,3.91,78.8,39,39,9.17,scattered clouds
489,Caraquet,CA,47.79,-64.94,71.6,43,75,2.24,broken clouds
490,Atouguia Da Baleia,PT,39.34,-9.33,78.01,68,0,11.99,clear sky
491,Guilin,CN,25.28,110.29,78.8,94,20,1.03,few clouds
492,Aswan,EG,24.09,32.91,94.08,13,0,14.07,clear sky
493,Port Blair,IN,11.67,92.75,82.4,79,100,11.23,overcast clouds
494,Champerico,GT,14.3,-91.92,84.2,74,75,4.7,broken clouds
495,Gusev,RU,54.59,22.2,70.05,93,100,12.1,moderate rain
496,Chapais,CA,49.78,-74.85,60.8,63,90,3.36,overcast clouds
497,Detroit,US,42.33,-83.05,91.0,48,1,5.82,clear sky
498,Tual,ID,-5.67,132.75,78.69,83,9,17.96,clear sky
499,Sinjar,IQ,36.32,41.88,84.67,19,0,12.66,clear sky
500,North Bend,US,43.41,-124.22,66.0,82,20,3.36,few clouds
501,Turiacu,BR,-1.66,-45.37,84.51,74,38,6.17,light rain
502,Domoni,KM,-12.26,44.53,75.69,76,90,4.7,overcast clouds
503,Eina,NO,60.63,10.6,66.0,79,44,1.01,light rain
504,Point Fortin,TT,10.18,-61.68,84.99,79,100,1.97,light rain
505,Divnogorsk,RU,55.96,92.36,51.8,93,40,2.24,fog
506,Guia De Isora,ES,28.21,-16.78,97.0,14,1,25.28,clear sky
507,Mecca,SA,21.43,39.83,94.55,27,8,9.62,clear sky
508,Waspan,NI,14.74,-83.97,87.8,74,75,5.82,broken clouds
509,Staritsa,RU,56.51,34.94,61.18,75,82,4.14,broken clouds
510,Midland,US,32.0,-102.08,87.8,35,1,4.7,clear sky
511,Valkeala,FI,60.94,26.8,62.6,93,90,11.41,light intensity shower rain
512,Daru,PG,-9.08,143.21,75.76,80,52,9.84,broken clouds
513,Eirunepe,BR,-6.66,-69.87,75.47,41,52,4.94,broken clouds
514,Luis Correia,BR,-2.88,-41.67,85.01,62,33,11.45,scattered clouds
515,Dong Hoi,VN,17.48,106.6,80.33,84,88,6.15,overcast clouds
516,Itupiranga,BR,-5.13,-49.33,93.2,49,75,4.7,broken clouds
517,Taoudenni,ML,22.68,-3.98,116.87,6,27,18.5,scattered clouds
518,Kibondo,TZ,-3.59,30.72,76.35,34,74,6.98,broken clouds
519,Talcahuano,CL,-36.72,-73.12,60.8,51,0,9.17,clear sky
520,Muncar,ID,-8.43,114.33,73.81,87,44,1.43,scattered clouds
521,Valdivia,CL,-39.81,-73.25,44.6,87,75,4.7,broken clouds
522,Dingtao,CN,35.07,115.56,72.05,95,40,2.71,scattered clouds
523,Am Timan,TD,11.03,20.28,76.26,92,99,6.22,light rain
524,Ossora,RU,59.24,163.07,47.07,81,97,5.39,overcast clouds
525,Norden,DE,53.6,7.2,69.01,72,40,10.29,scattered clouds
526,Bolshaya Sosnova,RU,57.67,54.6,53.82,88,83,6.53,broken clouds
527,Luanda,AO,-8.84,13.23,73.4,83,75,6.93,broken clouds
528,Princeton,US,25.54,-80.41,93.0,66,75,12.75,broken clouds
529,Mezen,RU,65.85,44.24,59.94,83,35,2.46,scattered clouds
530,Sabha,LY,27.04,14.43,93.7,14,0,9.08,clear sky
531,Aberdeen,GB,57.14,-2.1,62.6,67,93,4.7,light rain
532,Vanimo,PG,-2.67,141.3,78.62,82,29,3.83,light rain
533,Fort Nelson,CA,58.81,-122.7,57.2,93,90,9.17,overcast clouds
534,Lokosovo,RU,61.13,74.82,49.69,91,19,4.83,few clouds
535,Zeya,RU,53.75,127.27,55.36,77,0,4.29,clear sky
536,Moron,AR,-34.65,-58.62,64.0,23,0,11.41,clear sky
537,Kukmor,RU,56.19,50.89,54.57,88,22,6.53,few clouds
538,Berdigestyakh,RU,62.1,126.7,38.32,77,0,3.56,clear sky
539,El Ejido,ES,36.78,-2.81,84.0,83,0,5.82,clear sky
540,Mutata,CO,7.24,-76.44,86.9,60,83,3.74,light rain
541,Buraydah,SA,26.33,43.98,104.0,17,20,5.82,few clouds
542,Ayagoz,KZ,47.97,80.44,68.65,24,89,10.92,overcast clouds
543,Gondanglegi,ID,-7.75,112.01,75.47,79,17,8.68,few clouds
544,Kaeo,NZ,-35.1,173.78,53.01,3,5,3.18,clear sky
545,Road Town,VG,18.42,-64.62,80.01,93,100,20.0,moderate rain
546,Warrington,GB,53.39,-2.58,64.0,77,40,18.34,scattered clouds
547,Imbituba,BR,-28.24,-48.67,66.2,39,0,6.93,clear sky
548,Sosenskiy,RU,54.06,35.96,64.4,77,67,2.24,broken clouds
549,Vardo,NO,70.37,31.11,59.5,77,81,17.43,broken clouds
550,Berlevag,NO,70.86,29.09,62.38,72,47,26.64,scattered clouds
551,Chyhyryn,UA,49.08,32.66,67.69,63,13,9.71,few clouds
552,Verkhnyaya Inta,RU,65.98,60.31,49.95,86,49,6.42,scattered clouds
553,Pedasi,PA,7.53,-80.03,77.7,89,100,9.8,light rain
554,Longyearbyen,SJ,78.22,15.64,44.6,65,40,6.93,scattered clouds
555,Fomboni,KM,-12.28,43.74,77.43,76,91,9.01,light rain
556,Yaan,NG,7.38,8.57,81.0,79,50,2.68,scattered clouds
557,Odessa,UA,46.48,30.73,80.6,42,0,8.95,clear sky
558,Timiryazevskiy,RU,56.49,84.88,55.99,93,21,6.71,few clouds
559,Hamilton,US,39.18,-84.53,82.99,69,75,2.89,broken clouds
560,Mackay,AU,-21.15,149.2,51.8,81,8,2.24,clear sky
561,Tessalit,ML,20.2,1.01,108.32,8,0,15.57,clear sky
562,Batagay-Alyta,RU,67.8,130.41,30.02,97,86,2.08,overcast clouds
563,Laguna,US,38.42,-121.42,77.0,64,20,2.55,few clouds
564,Dawlatabad,AF,36.41,64.91,78.8,17,0,4.56,clear sky
565,Kardailovo,RU,51.54,53.9,61.0,67,44,7.02,scattered clouds
566,Namibe,AO,-15.2,12.15,66.54,80,43,8.23,scattered clouds
567,Esperance,AU,-33.87,121.9,51.8,81,83,13.87,broken clouds
568,Pitlochry,GB,56.71,-3.73,64.0,76,93,1.99,overcast clouds
569,Bontang,ID,0.13,117.5,80.74,82,100,7.43,overcast clouds
570,Mwandiga,TZ,-4.83,29.66,80.6,57,56,5.48,broken clouds
571,Dongsheng,CN,39.82,109.98,67.98,79,100,14.63,moderate rain
572,Slave Lake,CA,55.28,-114.77,57.2,93,75,3.36,broken clouds
573,Batagay,RU,67.63,134.63,31.39,97,50,2.93,scattered clouds
574,Lady Frere,ZA,-31.7,27.23,57.81,30,0,8.23,clear sky
575,Ingham,US,42.6,-84.38,86.0,45,1,3.36,clear sky
576,Pingliang,CN,35.54,106.69,66.36,84,99,4.92,overcast clouds
577,Alyangula,AU,-13.85,136.42,57.2,93,0,14.25,clear sky
578,Buala,SB,-8.14,159.59,80.64,82,100,7.11,light rain
579,Telemaco Borba,BR,-24.32,-50.62,61.43,46,0,4.41,clear sky
580,Belogorsk,RU,50.92,128.46,60.48,95,86,5.99,overcast clouds
581,Nusaybin,TR,37.08,41.22,86.09,20,54,6.44,broken clouds
582,Kanakapura,IN,12.55,77.42,80.01,100,40,2.24,drizzle
583,Hwange,ZW,-18.37,26.5,72.86,44,52,8.21,broken clouds
584,Presidente Epitacio,BR,-21.76,-52.12,68.34,43,0,8.41,clear sky
585,Eyl,SO,7.98,49.82,77.9,72,100,26.04,overcast clouds
586,Garissa,KE,-0.45,39.64,80.71,48,97,23.94,overcast clouds
587,Ondjiva,AO,-17.07,15.73,87.8,16,37,4.7,scattered clouds
588,Krishnanagar,IN,23.4,88.5,78.28,89,100,7.38,overcast clouds
589,Pontal Do Parana,BR,-25.65,-48.51,55.4,58,40,10.29,scattered clouds
590,Keflavik,IS,64.0,-22.56,55.4,62,0,11.41,clear sky
591,Richards Bay,ZA,-28.78,32.04,66.36,72,0,11.61,clear sky
592,Sorland,NO,67.67,12.69,56.55,94,100,13.53,overcast clouds
593,Kwekwe,ZW,-18.93,29.81,60.26,59,63,10.27,broken clouds
594,Matara,LK,5.95,80.54,79.27,88,75,6.24,broken clouds
595,Shenzhen,CN,22.55,114.07,84.2,79,81,8.95,broken clouds
596,Waycross,US,31.21,-82.35,81.0,83,90,6.6,light intensity drizzle
597,Nioro,GM,13.35,-15.75,86.79,69,68,9.13,light rain
598,Yankton,US,42.87,-97.4,84.99,74,1,3.36,clear sky
599,Jiuquan,CN,39.74,98.52,70.93,36,100,6.76,overcast clouds
600,Dawei,MM,14.08,98.2,76.8,88,100,0.83,light rain
601,Alta Floresta,BR,-9.88,-56.09,97.72,22,0,4.97,clear sky
602,Srednekolymsk,RU,67.45,153.68,36.73,83,100,12.57,overcast clouds
603,Aden,YE,12.78,45.04,86.09,67,2,0.74,light rain
604,Kez,RU,57.9,53.72,52.23,95,61,4.41,broken clouds
605,Wahiawa,US,21.5,-158.02,77.0,88,1,5.82,clear sky
606,Dahod,IN,22.83,74.27,75.74,94,100,19.77,moderate rain
607,Russell,US,32.35,-85.2,82.99,69,40,4.14,scattered clouds
608,Danilov,RU,58.19,40.17,64.4,77,0,1.36,clear sky
609,Lilongwe,MW,-13.97,33.79,68.0,56,75,13.87,broken clouds
610,Nisia Floresta,BR,-6.09,-35.21,84.2,62,40,20.8,scattered clouds
611,Ternate,ID,0.8,127.4,80.04,79,17,3.87,light rain
612,Arlit,NE,18.74,7.39,101.07,24,22,5.35,few clouds
613,Manohar Thana,IN,24.24,76.8,77.45,91,100,16.89,light rain
614,Tautira,PF,-17.73,-149.15,71.6,94,40,4.7,scattered clouds
615,Senneterre,CA,48.38,-77.23,69.8,77,75,6.93,broken clouds
616,Chivolo,CO,10.03,-74.62,84.79,74,88,7.63,light rain
617,Aloleng,PH,16.13,119.78,82.62,78,97,10.69,overcast clouds
618,Shaghat,AM,39.56,45.91,68.0,82,90,9.17,overcast clouds
619,Bolobo,CD,-2.17,16.23,75.34,82,100,1.63,overcast clouds
620,Gat,IL,31.61,34.76,82.99,45,0,6.42,clear sky
621,Monrovia,LR,6.3,-10.8,80.6,83,75,11.41,broken clouds
622,Morgan City,US,29.7,-91.21,89.01,55,1,5.82,clear sky
623,Rosetta,EG,31.4,30.42,84.2,74,40,11.41,scattered clouds
624,Biak,ID,-0.91,122.88,76.53,85,99,7.36,overcast clouds
625,Lower Hutt,NZ,-41.22,174.92,48.2,93,82,4.7,broken clouds
626,Cabrera,DO,19.64,-69.9,82.4,94,75,16.11,broken clouds
627,Sainte-Maxime,FR,43.3,6.63,95.0,30,0,20.8,clear sky
628,Maceio,BR,-9.67,-35.74,80.6,65,75,13.87,broken clouds
629,Puerto Plata,DO,19.79,-70.69,84.2,94,90,9.91,overcast clouds
630,Severo-Yeniseyskiy,RU,60.37,93.04,50.47,97,95,3.04,overcast clouds
631,San Andres,CO,12.58,-81.7,89.6,70,75,6.93,broken clouds
632,Caravelas,BR,-17.71,-39.25,72.28,79,98,13.38,overcast clouds
633,Shingu,JP,33.73,135.98,75.24,89,93,4.07,overcast clouds
634,Marzuq,YE,14.4,46.47,84.06,48,56,8.81,broken clouds
635,Agirish,RU,61.92,63.02,53.17,93,97,4.09,overcast clouds
636,Luganville,VU,-15.53,167.17,75.36,81,62,3.49,broken clouds
637,Kuressaare,EE,58.25,22.5,68.0,88,90,19.46,light rain
638,Gafargaon,BD,24.43,90.57,82.4,83,75,4.7,haze
639,Batticaloa,LK,7.71,81.69,82.35,74,81,14.16,broken clouds
640,Santa Vitoria Do Palmar,BR,-33.52,-53.37,58.82,43,0,2.95,clear sky
641,Porto Novo,BJ,6.5,2.6,78.8,88,20,6.93,few clouds
642,Kabo,CF,7.7,18.63,72.48,96,100,2.24,light rain
643,Sebring,US,27.5,-81.44,86.0,74,1,9.17,clear sky
644,Luwuk,ID,-0.95,122.79,76.98,81,99,5.97,overcast clouds
645,Hovd,MN,48.01,91.64,61.21,41,39,2.75,scattered clouds
646,Kosonsoy,UZ,41.26,71.55,77.0,41,0,6.93,clear sky
647,Bossangoa,CF,6.49,17.46,71.4,95,100,3.38,light rain
648,Pacific Grove,US,36.62,-121.92,62.6,77,90,5.82,haze
649,Huilong,CN,31.81,121.66,82.0,86,2,8.28,clear sky
650,Inhambane,MZ,-23.86,35.38,68.0,72,20,4.7,few clouds
651,Quebec,CA,46.81,-71.21,75.99,64,40,5.82,scattered clouds
652,Yining,CN,29.04,114.56,76.86,88,84,0.94,broken clouds
653,Tarakan,ID,3.3,117.63,81.77,78,96,3.22,light rain
654,Trairi,BR,-3.28,-39.27,85.48,56,60,16.13,broken clouds
655,Novyy Svit,UA,47.81,38.02,65.05,54,80,11.68,broken clouds
656,Requena,ES,39.49,-1.1,87.01,52,0,8.99,clear sky
657,La Primavera,CO,5.49,-70.41,75.87,90,100,2.84,moderate rain
658,Bulolo,PG,-7.2,146.65,68.23,77,21,1.12,few clouds
659,Perelyub,RU,51.87,50.37,59.29,63,53,7.76,broken clouds
660,Adre,TD,13.47,22.2,73.17,81,93,14.03,moderate rain
661,Akdepe,TM,42.06,59.38,84.2,28,13,9.17,few clouds
662,Clacton-On-Sea,GB,51.79,1.16,73.0,51,29,11.01,scattered clouds
663,Fort Frances,CA,48.6,-93.4,80.01,69,40,4.7,scattered clouds
664,Severomuysk,RU,56.15,113.43,50.11,79,99,3.47,overcast clouds
665,Lata,PT,40.16,-8.33,78.01,72,0,10.0,clear sky
666,Norman Wells,CA,65.28,-126.83,57.2,71,75,11.41,broken clouds
667,Linhares,BR,-19.39,-40.07,69.57,73,100,11.03,overcast clouds
668,Gotsu,JP,35.0,132.22,76.01,87,85,0.78,overcast clouds
669,Senador Jose Porfirio,BR,-2.59,-51.95,94.82,40,0,2.28,clear sky
670,Zhangye,CN,38.93,100.45,60.22,79,100,1.99,light rain
671,Birao,CF,10.28,22.79,76.14,90,99,4.25,overcast clouds
672,Kutum,SD,14.2,24.67,70.16,75,90,13.13,heavy intensity rain
673,Baghdad,IQ,33.34,44.4,100.4,24,0,10.29,clear sky
674,Flin Flon,CA,54.77,-101.86,55.4,87,90,8.05,overcast clouds
675,Opuwo,NA,-18.06,13.84,65.08,28,24,3.24,few clouds
676,Sagua La Grande,CU,22.81,-80.08,87.8,62,75,13.87,broken clouds
677,Murgab,TM,37.5,61.97,86.0,28,0,4.7,clear sky
678,Gopalpur,IN,19.27,84.92,82.27,84,100,14.85,overcast clouds
